"ID da cidade","Nome da cidade",ID,Tipo,Apelido,"Período de atualização","É Básica?","Unidade de medida",Nome,Data,Valor,Observações,"Fonte preenchida","Nome Região","Valor ativo?","Gerado por computador?","ID da Região","Nível da Região"
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,4097.98,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Bela Vista",sim,não,295,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2211.22,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Belém,sim,não,301,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,3497.36,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Bom Retiro",sim,não,294,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2052.11,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Brás,sim,não,300,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1680.36,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Brasilândia,sim,não,312,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,4358.69,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Butantã,sim,não,237,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1892.59,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Cachoeirinha,sim,não,250,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2258.55,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Cambuci,sim,não,293,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,10079.98,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Campo Belo",sim,não,263,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2835.84,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Campo Grande",sim,não,262,3
